observation_date,IPG3113N
1972-01-01,74.6523
1972-02-01,62.5670
1972-03-01,57.5153
1972-04-01,56.2438
1972-05-01,56.6303
1972-06-01,58.9246
1972-07-01,60.1378
1972-08-01,61.6967
1972-09-01,65.3592
1972-10-01,93.1208
1972-11-01,91.9569
1972-12-01,92.2786
1973-01-01,79.5052
1973-02-01,67.2893
1973-03-01,60.6223
1973-04-01,61.2234
1973-05-01,62.4319
1973-06-01,65.2069
1973-07-01,62.7565
1973-08-01,63.7419
1973-09-01,70.2025
1973-10-01,89.6509
1973-11-01,95.1613
1973-12-01,91.6421
1974-01-01,77.2444
1974-02-01,72.8065
1974-03-01,67.2474
1974-04-01,58.6170
1974-05-01,64.9738
1974-06-01,69.3040
1974-07-01,57.5284
1974-08-01,62.0091
1974-09-01,61.1432
1974-10-01,86.4757
1974-11-01,88.1552
1974-12-01,75.7781
1975-01-01,58.4596
1975-02-01,45.9845
1975-03-01,44.2179
1975-04-01,52.1466
1975-05-01,53.0698
1975-06-01,55.2666
1975-07-01,54.3268
1975-08-01,58.2996
1975-09-01,57.7552
1975-10-01,83.8419
1975-11-01,91.8619
1975-12-01,88.8024
1976-01-01,76.3864
1976-02-01,65.2611
1976-03-01,53.8168
1976-04-01,55.9689
1976-05-01,61.2673
1976-06-01,59.2759
1976-07-01,60.2964
1976-08-01,62.3593
1976-09-01,67.0710
1976-10-01,94.1963
1976-11-01,97.5602
1976-12-01,99.6400
1977-01-01,85.1480
1977-02-01,78.7085
1977-03-01,67.5403
1977-04-01,66.3928
1977-05-01,67.9702
1977-06-01,68.2212
1977-07-01,66.0283
1977-08-01,67.9851
1977-09-01,73.2402
1977-10-01,94.8991
1977-11-01,92.2443
1977-12-01,98.2190
1978-01-01,78.3008
1978-02-01,69.9447
1978-03-01,66.5000
1978-04-01,67.3751
1978-05-01,66.7937
1978-06-01,68.1085
1978-07-01,63.1595
1978-08-01,66.1746
1978-09-01,72.1344
1978-10-01,91.5835
1978-11-01,97.3725
1978-12-01,99.4476
1979-01-01,85.9751
1979-02-01,73.8789
1979-03-01,70.6353
1979-04-01,67.2203
1979-05-01,68.2706
1979-06-01,70.6299
1979-07-01,65.1369
1979-08-01,67.1538
1979-09-01,70.3733
1979-10-01,88.0427
1979-11-01,92.9437
1979-12-01,91.9776
1980-01-01,75.6912
1980-02-01,73.5187
1980-03-01,64.8505
1980-04-01,57.0832
1980-05-01,64.7518
1980-06-01,67.0491
1980-07-01,61.8727
1980-08-01,67.3063
1980-09-01,67.9183
1980-10-01,87.8594
1980-11-01,92.9869
